NCA NUMBER,NCA TYPE,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,AMOUNT,PURPOSE,REMARKS
NCA-ROXI-20-0004831,TR,04/03/20 12:45:59,04/03/2020 15:25:24,Department of Public Works and Highways (DPWH),Office of the Secretary,Davao Oriental 2nd District Engineering Office,"8,627,546.00",Payment of Trust Liabilities with various creditors.,
NCA-ROXI-20-0004830,TLRG,04/03/20 12:45:59,04/03/2020 15:25:24,Department of Health (DOH),Office of the Secretary,Davao Region Centers for Health Development,"1,382,526.00","Payment of Terminal Leave Benefits (TLB) of Helen M. Vistal, retired Development Management Officer IV effective January 1, 2020",
NCA-ROXII-20-0004828,PY,04/03/20 10:59:32,04/03/2020 16:38:30,Department of Education (DepEd),Office of the Secretary,Regional Office - XII,"59,752,000.00",Funds to cover Prior Year's unpaid obligations based on the Monthly Disbursement Program,
NCA-ROIVB-20-0004826,TLRG,04/02/20 21:44:16,04/03/2020 12:37:32,Department of Education (DepEd),Office of the Secretary,Division of Occidental Mindoro,"115,660.00","To cover payment of Monetization of Leave Credits of Ms. Maria Rose A. Delos Reyes, Principal IV of Division of Occidental Mindoro.",
NCA-ROIVB-20-0004825,REG,04/02/20 21:44:16,04/03/2020 12:37:32,State Universities and Colleges (SUCs),Occidental Mindoro State College,,"8,617,000.00","To cover cash requirements for FY 2019 Continuing Appropriations, specifically for payment of Salaries, and Machinery and Equipment.",
NCA-ROXII-20-0004824,REG,04/02/20 16:45:36,04/03/2020 16:38:30,Department of Education (DepEd),Office of the Secretary,Antipas National High School,"854,146.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004824,REG,04/02/20 16:45:36,04/03/2020 16:38:30,Department of Education (DepEd),Office of the Secretary,Alamada National High School,"1,016,333.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004824,REG,04/02/20 16:45:36,04/03/2020 16:38:30,Department of Education (DepEd),Office of the Secretary,Banisilan National High School,"744,385.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004823,REG,04/02/20 16:24:06,04/03/2020 16:38:29,Department of Education (DepEd),Office of the Secretary,Dilangalen National High School,"2,644,445.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004823,REG,04/02/20 16:24:06,04/03/2020 16:38:29,Department of Education (DepEd),Office of the Secretary,Carmen National High School,"1,572,895.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004823,REG,04/02/20 16:24:06,04/03/2020 16:38:29,Department of Education (DepEd),Office of the Secretary,Kabacan National High School,"1,515,288.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004823,REG,04/02/20 16:24:06,04/03/2020 16:38:29,Department of Education (DepEd),Office of the Secretary,Greenfield National High School,"664,884.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004822,REG,04/02/20 16:24:05,04/03/2020 16:38:29,Department of Education (DepEd),Office of the Secretary,Division of Cotabato,"120,981,548.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004821,REG,04/02/20 16:10:32,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,Canizares National High School,"1,007,514.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004821,REG,04/02/20 16:10:32,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,"Cotabato City National High School, Barangay Rosary Height # 4","3,459,483.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004821,REG,04/02/20 16:10:32,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,"Cotabato City National High School, Barangay Rosary Height #13","1,746,232.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004821,REG,04/02/20 16:10:32,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,J. Marquez National High School,"650,113.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004821,REG,04/02/20 16:10:32,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,Division of Cotabato City,"18,860,536.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004821,REG,04/02/20 16:10:32,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,Datu Siang National High School,"633,356.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004821,REG,04/02/20 16:10:32,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,Notre Dame Village National High School,"2,028,812.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004820,REG,04/02/20 16:06:03,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,Ginatilan National High School,"383,548.00",To cover funding requirements for FY 2018 Performanced-Based Bonus  authorized under E.O. 80 s. 2012 and 201 s. 2016.,
NCA-ROXII-20-0004820,REG,04/02/20 16:06:03,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,Kidapawan National High School,"4,249,217.00",To cover funding requirements for FY 2018 Performanced-Based Bonus  authorized under E.O. 80 s. 2012 and 201 s. 2016.,
NCA-ROXII-20-0004820,REG,04/02/20 16:06:03,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,Amas National High School,"525,401.00",To cover funding requirements for FY 2018 Performanced-Based Bonus  authorized under E.O. 80 s. 2012 and 201 s. 2016.,
NCA-ROXII-20-0004820,REG,04/02/20 16:06:03,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,Paco National High School,"312,820.00",To cover funding requirements for FY 2018 Performanced-Based Bonus  authorized under E.O. 80 s. 2012 and 201 s. 2016.,
NCA-ROXII-20-0004820,REG,04/02/20 16:06:03,04/03/2020 16:38:28,Department of Education (DepEd),Office of the Secretary,Division of Kidapawan City,"15,548,053.00",To cover funding requirements for FY 2018 Performanced-Based Bonus  authorized under E.O. 80 s. 2012 and 201 s. 2016.,
NCA-ROXII-20-0004819,REG,04/02/20 15:50:30,04/03/2020 16:38:27,Department of Education (DepEd),Office of the Secretary,Tacurong National High School,"2,136,201.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004819,REG,04/02/20 15:50:30,04/03/2020 16:38:27,Department of Education (DepEd),Office of the Secretary,V.F. Grino National High School,"941,427.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004819,REG,04/02/20 15:50:30,04/03/2020 16:38:27,Department of Education (DepEd),Office of the Secretary,Division of Tacurong City,"9,294,269.00",To cover FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004818,REG,04/02/20 15:45:52,04/03/2020 16:38:27,Department of Education (DepEd),Office of the Secretary,Lebak National High School - Lebak Legislated National High School,"1,601,522.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004817,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Lutayan National High School,"1,140,919.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004817,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Telafas National High School,"418,257.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004817,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,President Quirino National High School,"1,402,843.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004817,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Lambayong National High School (Mariano Marcos National High School),"1,282,374.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004817,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Laguilayan National High School,"514,361.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004817,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Kapingkong National High School,"518,163.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004816,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Bai Saripinang National High School,"587,171.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004816,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Columbio National High School,"657,865.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
