SARO NUMBER,AMOUNT,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,PURPOSE,REMARKS
SARO-ROIVB-20-0006029,"115,660.00",04/02/2020 21:43:55,04/03/2020 12:36:25,07 - Department of Education (DepEd),001 - Office of the Secretary,0817002 - Division of Occidental Mindoro,"To cover payment of Monetization of Leave Credits of Ms. Maria Rose A. Delos Reyes, Principal IV of Division of Occidental Mindoro.",
SARO-ROXII-20-0005958,"1,515,288.00",04/02/2020 16:23:16,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912045 - Kabacan National High School,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROXII-20-0005957,"664,884.00",04/02/2020 16:22:51,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912040 - Greenfield National High School,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROXII-20-0005956,"2,644,445.00",04/02/2020 16:22:17,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912032 - Dilangalen National High School,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROXII-20-0005955,"1,572,895.00",04/02/2020 16:21:53,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912023 - Carmen National High School,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROXII-20-0005954,"744,385.00",04/02/2020 16:21:30,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912015 - Banisilan National High School,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROXII-20-0005953,"854,146.00",04/02/2020 16:21:06,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912007 - Antipas National High School,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROXII-20-0005952,"1,016,333.00",04/02/2020 16:20:43,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912004 - Alamada National High School,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROXII-20-0005951,"120,981,548.00",04/02/2020 16:20:05,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0812001 - Division of Cotabato,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROXII-20-0005950,"1,007,514.00",04/02/2020 16:17:09,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912330 - Canizares National High School,To release allotment for the FY 2018 Performance Based Bonus of 67 eligible personnel.,
SARO-ROXII-20-0005949,"1,746,232.00",04/02/2020 16:16:33,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,"0912334 - Cotabato City National High School, Barangay Rosary Height #13",To release allotment for the FY 2018 Performance Based Bonus of 104 eligible personnel.,
SARO-ROXII-20-0005948,"3,459,483.00",04/02/2020 16:15:53,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,"0912333 - Cotabato City National High School, Barangay Rosary Height # 4",To release allotment for the FY 2018 Performance Based Bonus of 213 eligible personnel.,
SARO-ROXII-20-0005947,"2,028,812.00",04/02/2020 16:15:28,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912343 - Notre Dame Village National High School,To release allotment for the FY 2018 Performance Based Bonus of 132 eligible personnel.,
SARO-ROXII-20-0005946,"650,113.00",04/02/2020 16:14:59,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912342 - J. Marquez National High School,To release allotment for the FY 2018 Performance Based Bonus of 43 eligible personnel.,
SARO-ROXII-20-0005945,"633,356.00",04/02/2020 16:14:25,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912341 - Datu Siang National High School,To release allotment for the FY 2018 Performance Based Bonus of 41 eligible personnel.,
SARO-ROXII-20-0005944,"18,860,536.00",04/02/2020 16:13:07,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0812005 - Division of Cotabato City,"To release allotment for the FY 2018 Performance Based Bonus of 1,320 eligible personnel.",
SARO-ROX-20-0005943,"24,000.00",04/02/2020 16:06:08,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910180 - Sugbongcogon National High School,"Release of allotment to cover the 25% of RLIP requirements due to compensation adjustment for civilian personnel, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005942,"232,000.00",04/02/2020 16:05:41,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910180 - Sugbongcogon National High School,"Release of allotment to cover the 25% of 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005941,"42,000.00",04/02/2020 16:05:17,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910175 - Salay National High School,"Release of allotment to cover the 25% of RLIP requirements due to compensation adjustment for civilian personnel, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXII-20-0005940,"15,548,053.00",04/02/2020 16:05:16,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0812007 - Division of Kidapawan City,"To release allotment for the FY 2018 Performanced-Based Bonus (PBB) of Elementary and Secondary Schools authorized under E.O 80 and 201 of 1,110 eligible personnel",
SARO-ROX-20-0005939,"420,000.00",04/02/2020 16:04:46,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910175 - Salay National High School,"Release of allotment to cover the 25% of 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005937,"62,000.00",04/02/2020 16:04:15,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910171 - Opol National Secondary Technical School,"Release of allotment to cover the 25% of RLIP requirements due to compensation adjustment for civilian personnel, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXII-20-0005936,"312,820.00",04/02/2020 16:04:14,04/03/2020 16:47:16,07 - Department of Education (DepEd),001 - Office of the Secretary,0912387 - Paco National High School,To release allotment for the FY 2018 Performanced-Based Bonus (PBB) authorized under E.O 80 s. 2012 and 201 s. 2016 of 24 eligible personnel.,
SARO-ROX-20-0005935,"613,000.00",04/02/2020 16:03:42,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910171 - Opol National Secondary Technical School,"Release of allotment to cover the 25% of 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXII-20-0005934,"4,249,217.00",04/02/2020 16:03:22,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912378 - Kidapawan National High School,To release allotment for the FY 2018 Performanced-Based Bonus (PBB) authorized under E.O. 80 of 320 eligible personnel.,
SARO-ROX-20-0005933,"8,072,000.00",04/02/2020 16:03:09,04/03/2020 16:00:08,08 - State Universities and Colleges (SUCs),089 - Bukidnon State University,0000000 - Bukidnon State University,"Release of allotment  to cover 1st trancheCompensation Adjustment (January – December, 2020) for civilian personnel including related costs as authorized under R.A No. 11466 and NBC No. 579.",
SARO-ROXII-20-0005932,"383,548.00",04/02/2020 16:02:57,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912374 - Ginatilan National High School,To release allotment for the FY 2018 Performanced-Based Bonus (PBB) authorized under E.O 80 s. 2012 and 201 s. 2016 of 33 eligible personnel.,
SARO-ROXII-20-0005931,"525,401.00",04/02/2020 16:02:32,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912371 - Amas National High School,To release allotment for the FY 2018 Performance-Based Bonus (PBB) authorized under E.O. 80 s. 2012 and 201 s. 2016 of 38 eligible personnel,
SARO-ROXII-20-0005930,"418,257.00",04/02/2020 15:59:14,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912327 - Telafas National High School,To release allotment for the FY 2018 PBB for 33 personnel,
SARO-ROXII-20-0005929,"1,402,843.00",04/02/2020 15:58:44,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912320 - President Quirino National High School,To release allotment for the FY 2018 PBB for 108 personnel,
SARO-ROXII-20-0005928,"1,140,919.00",04/02/2020 15:58:12,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912310 - Lutayan National High School,To release allotment for the FY 2018 PBB for 89 personnel,
SARO-ROXII-20-0005927,"1,601,522.00",04/02/2020 15:57:41,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912308 - Lebak National High School - Lebak Legislated National High School,To release allotment for the FY 2018 PBB for 108 Personnel,
SARO-ROXII-20-0005926,"1,282,374.00",04/02/2020 15:57:14,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912300 - Lambayong National High School (Mariano Marcos National High School),To release allotment for the FY 2018 PBB for 110 Personnel,
SARO-ROXII-20-0005925,"514,361.00",04/02/2020 15:56:45,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912298 - Laguilayan National High School,To release allotment for the FY 2018 PBB for 38 Personnel,
SARO-ROXII-20-0005924,"518,163.00",04/02/2020 15:56:10,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912296 - Kapingkong National High School,To release allotment for the FY 2018 PBB for 37 Personnel,
SARO-ROXII-20-0005923,"1,986,238.00",04/02/2020 15:55:42,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912291 - Isulan National High School,To release allotment for the FY 2018 PBB for 172 Personnel,
SARO-ROXII-20-0005922,"657,865.00",04/02/2020 15:55:02,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912287 - Columbio National High School,To release allotment for the FY 2018 PBB for 58 Personnel,
SARO-ROXII-20-0005921,"766,452.00",04/02/2020 15:54:21,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912278 - Bagumbayan National High School,To release allotment for the FY 2018 PBB for 55 Personnel,
SARO-ROXII-20-0005920,"3,094,532.00",04/02/2020 15:53:43,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912289 - Esperanza National High School,To release allotment for the FY 2018 PBB for 206 Personnel,
SARO-ROXII-20-0005919,"952,702.00",04/02/2020 15:53:10,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912285 - Bambad National High School,To release allotment for the FY 2018 PBB for 59 Personnel,
SARO-ROXII-20-0005918,"587,171.00",04/02/2020 15:52:32,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912283 - Bai Saripinang National High School,To release allotment for the FY 2018 Performance-Based Bonus for 40 Personnel,
SARO-ROXII-20-0005917,"65,697,713.00",04/02/2020 15:52:07,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0812004 - Division of Sultan Kudarat,"To release allotment for the FY 2018 PBB for 5,279 Personnel",
